Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.63;-0.078350551;-0.055891851;-0.062493539;-0.087390367;-0.011086424;-0.032317829;-0.367673519;-0.155971923;-0.335770758;-0.068653021;-0.132697922;-0.006750891;14.75940747;44.18182844;6.884865535;26.75970895;-0.76472856;14.63051143;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.64;-0.081112186;-0.0552509;-0.065522509;-0.087299227;-0.012372487;-0.031571183;-0.184653299;0.284154213;-0.270023188;0.086880987;-0.124514695;0.156080234;21.84463639;43.57227655;6.26464844;4.347092768;2.401373947;17.93571374;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.65;-0.08181004;-0.050362368;-0.067623804;-0.086445309;-0.013499204;-0.029190775;0.04508243;0.6935014;-0.150235912;0.083902522;-0.100828646;0.32000124;24.1025094;38.09307071;17.69280671;-4.942785751;2.335835832;14.84848735;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.66;-0.080266339;-0.041791317;-0.068423014;-0.085580629;-0.014423441;-0.025451528;0.263657702;1.02065455;-0.009605992;0.089033629;-0.084018729;0.427848255;19.61254511;27.26300168;10.4331773;5.969007016;1.026147583;6.720915709;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.67;-0.076922776;-0.030501511;-0.068310254;-0.083882281;-0.015264584;-0.021051374;0.405054959;1.237286411;0.032158041;0.250635912;-0.084209894;0.452182565;8.666906366;16.09518739;-2.080370522;26.35144959;-1.064380638;-1.85405373;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.68;-0.072642802;-0.017572532;-0.067785805;-0.079810007;-0.016196458;-0.016724246;0.450939815;1.348528132;0.072731667;0.563818895;-0.102165033;0.413242952;0.510064676;6.218167227;10.19509569;36.28514697;-2.526647128;-5.9338688;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.69;-0.067998835;-0.004054032;-0.066838039;-0.072645406;-0.017232458;-0.012819996;0.477853675;1.355212642;0.116821606;0.869101355;-0.105034902;0.367607006;4.872707429;-4.842772309;-1.377107938;24.77134516;1.952673219;-3.193320428;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.7;-0.062867742;0.009124366;-0.065559458;-0.063339863;-0.018022024;-0.00917882;0.548364793;1.280503817;0.138894543;0.992007218;-0.05287831;0.360628355;9.229516132;-10.10696562;5.791695364;-0.190172583;8.478645215;1.797590176;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.71;-0.056913872;0.021343145;-0.063282401;-0.053925851;-0.018133665;-0.005478864;0.642409169;1.163271415;0.316516857;0.890795127;0.030550098;0.379362742;9.579359014;-13.37837399;29.73276741;-20.05224558;8.207036393;1.94928724;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.72;-0.049991537;0.032068318;-0.059194922;-0.046041395;-0.017476518;-0.001714999;0.74205797;0.981757727;0.500978871;0.686096021;0.100879224;0.373410333;10.35040131;-22.95747105;7.159635409;-20.88757575;5.858788768;-3.139769115;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.73;-0.042305846;0.040585704;-0.053914602;-0.039799806;-0.01622139;0.001689371;0.795080208;0.721689651;0.555085251;0.56222189;0.150146487;0.307463643;0.254046122;-29.0383095;3.661640637;-3.887250454;3.994663937;-10.04956886;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.74;-0.034658263;0.046301215;-0.048020484;-0.03392586;-0.014640527;0.004139605;0.7344363;0.421378358;0.623738256;0.612567219;0.166026093;0.182583185;-12.38282754;-30.93828301;10.06896021;13.95631628;-0.818742842;-14.92652266;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.75;-0.027917765;0.048895747;-0.041834038;-0.027081649;-0.01303343;0.005268426;0.613663416;0.097508291;0.613550873;0.756274981;0.155393276;0.043180994;-11.77174929;-33.69520716;-12.10643682;14.7852362;-1.307820504;-12.95391558;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.76;-0.022258362;0.04828311;-0.036013485;-0.019228231;-0.011415997;0.005242435;0.518217201;-0.220030979;0.550559915;0.814408621;0.168093388;-0.048379257;-7.3174937;-29.66312512;-0.491754738;-3.158508165;3.847842838;-5.358134716;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.77;-0.017343619;0.04479758;-0.030259042;-0.011800397;-0.009507023;0.00463795;0.464731341;-0.477054942;0.600328603;0.671158258;0.213701378;-0.072517706;-3.379678473;-21.64088942;10.4454924;-25.49156453;5.273755258;0.530444938;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.78;-0.012785438;0.039063564;-0.024004619;-0.006586249;-0.007175061;0.00394516;0.446904796;-0.669728205;0.650555913;0.371671242;0.252690965;-0.066040274;-0.185630454;-16.8526993;-0.400030485;-34.40583866;2.52416208;0.765041468;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.79;-0.00843562;0.03161764;-0.017459428;-0.004296813;-0.004609539;0.003219996;0.423058932;-0.819443759;0.658482335;0.086216107;0.260413418;-0.078992547;-4.583542422;-13.09127269;1.985314944;-22.68518829;-0.979671488;-3.355496023;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
